Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ComparePS,,,,2020-11-11 22:07:38,2020-11-11 22:07:43,5.231s,ERROR
,,,,,,,
Test Cases/ComparePS-1,,,,2020-11-11 22:07:39,2020-11-11 22:07:43,4.680s,ERROR
sekarang = new java.util.Date(),,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.030s,PASSED
"tgl = sekarang.format(""yyyy-MM-dd"")",,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.045s,PASSED
fullFlow = true,,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.084s,PASSED
strGlbDate = tgl,,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.002s,PASSED
strGlbCrash = false,,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.012s,PASSED
strGlbAlamat = false,,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.001s,PASSED
strGlbNomor = 1,,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.036s,PASSED
strGlbNumImage = 0,,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.000s,PASSED
runTime = StopWatch.createStarted(),,,,2020-11-11 22:07:40,2020-11-11 22:07:40,0.048s,PASSED
"getLastRow = findTestData(""dt-1/dt_APK"").getRowNumbers()",,,,2020-11-11 22:07:40,2020-11-11 22:07:42,1.969s,PASSED
for (int excelRow : (1..2)),,,,2020-11-11 22:07:42,2020-11-11 22:07:43,1.132s,ERROR
